epoch,train_loss,train_acc,val_loss,val_acc,avg_fp_iters,read_cos_last,write_cos_last,topk_hit_rate,run_tag,global_updates,tokens_seen,post_warm
1,3.715270,0.880667,2.372662,0.890000,6.000000,0.788118,0.000000,1.000000,cpu_len256_seed42,94,384000,0
2,3.538470,0.876667,2.225424,0.895000,5.000000,0.773459,0.000000,0.995000,cpu_len256_seed42,188,768000,0
3,3.782022,0.888667,2.313394,0.875000,5.000000,0.703868,0.001882,1.000000,cpu_len256_seed42,282,1152000,1
4,4.596117,0.862667,3.141257,0.885000,5.000000,0.370902,-0.003398,1.000000,cpu_len256_seed42,376,1536000,1
1,3.715270,0.880667,2.372662,0.890000,6.000000,0.788118,0.000000,1.000000,cpu_len256_seed42,94,384000,0
2,3.538470,0.876667,2.225424,0.895000,5.000000,0.773459,0.000000,0.995000,cpu_len256_seed42,188,768000,0
3,3.782022,0.888667,2.313394,0.875000,5.000000,0.703868,0.001882,1.000000,cpu_len256_seed42,282,1152000,1
4,4.596117,0.862667,3.141257,0.885000,5.000000,0.370902,-0.003398,1.000000,cpu_len256_seed42,376,1536000,1
