epoch,train_loss,train_acc,val_loss,val_acc,avg_fp_iters,read_cos_last,read_cos_raw_last,read_cleanup_last,val_read_gap_last,writes_per_seq_mean_last,write_bucket_entropy_last,write_cos_last,topk_hit_rate,addr_entropy_last,residual_norm_last,lambda_nce,nce_ema_write_cos,nce_read_ema_cos,pre_gate_best_acc,post_gate_best_acc,delta_post_vs_pre,gate_open_epoch,train_write_cos_min,train_write_cos_max,train_write_cos_std,train_read_cos_min,train_read_cos_max,train_read_cos_std,train_bucket_usage_mean,train_bucket_usage_min,train_bucket_usage_max,train_read_bucket_mean,train_read_bucket_min,train_read_bucket_max,train_read_gap_mean,train_bucket_collision_rate,train_bucket_collision_mean,train_bucket_collision_max,train_bucket_load_variance
1,1.453438,0.950521,0.258056,0.921875,6.000000,0.922070,0.879734,0.913285,0.033551,1.000000,1.884494,1.000000,1.000000,2.483928,0.747299,0.002800,0.200000,0.190230,nan,0.921875,nan,nan,1.000000,1.000000,0.000000,0.752222,1.000000,0.073347,7.250000,5.000000,8.000000,7.250000,5.000000,8.000000,0.018465,0.093750,0.005751,0.305556,0.002085
2,1.443080,0.958333,0.153212,0.968750,5.000000,0.968588,0.944386,0.958554,0.014168,1.000000,1.992798,1.000000,1.000000,2.483913,0.644669,0.006440,0.360000,0.344111,nan,0.968750,nan,nan,1.000000,1.000000,0.000000,0.750605,1.000000,0.067827,7.458333,6.000000,8.000000,7.458333,6.000000,8.000000,0.018359,0.067708,0.004232,0.218750,0.001973
3,1.489718,0.950521,0.237279,0.921875,5.000000,0.920087,0.880537,0.907108,0.026571,1.000000,1.897979,1.000000,1.000000,2.483918,0.642593,0.010332,0.488000,0.465401,nan,0.968750,nan,nan,1.000000,1.000000,0.000000,0.719757,1.000000,0.076442,7.375000,4.000000,8.000000,7.375000,4.000000,8.000000,0.017945,0.078125,0.004449,0.243056,0.002055
4,1.665934,0.950521,0.159142,0.968750,5.000000,0.967580,0.870255,0.883986,0.013731,1.000000,1.949476,-0.023594,1.000000,2.484022,0.742607,0.014300,0.390511,0.562425,nan,0.968750,nan,nan,-0.115681,0.126569,0.051371,0.737484,1.000000,0.067291,7.437500,6.000000,8.000000,7.437500,6.000000,8.000000,0.018178,0.070312,0.004395,0.260417,0.001984
5,1.763285,0.934896,0.171165,0.968750,5.000000,0.968503,0.810767,0.822329,0.011562,1.000000,2.036120,-0.004813,1.000000,2.483938,0.515915,0.018290,0.314232,0.636649,nan,0.968750,nan,nan,-0.054159,0.087828,0.035236,0.746738,1.000000,0.082050,7.229167,6.000000,8.000000,7.229167,6.000000,8.000000,0.023127,0.096354,0.005914,0.305556,0.002096
6,1.432456,0.963542,0.313017,0.937500,5.000000,0.935859,0.888564,0.916900,0.028336,1.000000,1.889803,1.000000,1.000000,2.483991,0.546646,0.019487,0.451385,0.702054,nan,0.968750,nan,nan,1.000000,1.000000,0.000000,0.747028,1.000000,0.067229,7.416667,6.000000,8.000000,7.416667,6.000000,8.000000,0.015549,0.072917,0.004340,0.256944,0.002014
7,2.141158,0.895833,0.422215,0.875000,5.000000,0.869729,0.721797,0.754305,0.032508,1.000000,1.897979,0.038240,0.984375,2.483975,0.474976,0.019846,0.363858,0.740624,0.968750,0.968750,0.000000,7,-0.067140,0.102389,0.040835,0.021285,1.000000,0.200038,7.000000,0.000000,8.000000,7.291667,6.000000,8.000000,0.016312,0.083333,0.004991,0.288194,0.001984
8,1.751078,0.940104,0.511806,0.921875,5.000000,0.917693,0.663971,0.672390,0.008419,1.000000,1.906155,0.063000,0.953125,2.483923,0.439697,0.019954,0.299220,0.780214,0.968750,0.968750,0.000000,7,-0.024589,0.090222,0.028690,0.705023,1.000000,0.089322,7.312500,5.000000,8.000000,7.312500,5.000000,8.000000,0.014769,0.085938,0.005263,0.274306,0.002055
