epoch,train_loss,train_acc,val_loss,val_acc,avg_fp_iters,read_cos_last,write_cos_last,topk_hit_rate,run_tag,global_updates,tokens_seen,post_warm
1,3.750381,0.890667,2.396742,0.890000,6.000000,0.776473,0.000000,0.985000,cpu_len256_seed43,94,384000,0
2,3.593171,0.875333,2.228846,0.880000,5.000000,0.770487,0.000000,1.000000,cpu_len256_seed43,188,768000,0
3,3.846673,0.876000,2.339623,0.860000,5.000000,0.691839,-0.003431,0.990000,cpu_len256_seed43,282,1152000,1
4,4.632305,0.848000,3.162732,0.815000,5.000000,0.370433,-0.005477,0.975000,cpu_len256_seed43,376,1536000,1
1,3.750381,0.890667,2.396742,0.890000,6.000000,0.776473,0.000000,0.985000,cpu_len256_seed43,94,384000,0
2,3.593171,0.875333,2.228846,0.880000,5.000000,0.770487,0.000000,1.000000,cpu_len256_seed43,188,768000,0
3,3.846673,0.876000,2.339623,0.860000,5.000000,0.691839,-0.003431,0.990000,cpu_len256_seed43,282,1152000,1
4,4.632305,0.848000,3.162732,0.815000,5.000000,0.370433,-0.005477,0.975000,cpu_len256_seed43,376,1536000,1
